model,case,size,bks,pred,gap_pct,miss,over,rout,mcap,time,prec,total,feasible
rslora_v4_ck50,la08,15x5,863,647,-25.0290,25,0,0,0,0,0,25,False
rslora_v4_ck50,la09,15x5,951,703,-26.0778,25,0,0,0,0,1,26,False
rslora_v4_ck50,la10,15x5,958,707,-26.2004,25,0,0,0,0,0,25,False
rslora_v4_ck50,la16,10x10,945,4485,374.6032,0,192,0,27,14,0,233,False
rslora_v4_ck50,la17,10x10,784,4892,523.9796,0,196,1,3,11,0,211,False
rslora_v4_ck50,la18,10x10,848,3678,333.7264,0,198,0,12,8,0,218,False
rslora_v4_ck50,la19,10x10,842,4186,397.1496,0,194,0,23,12,0,229,False
rslora_v4_ck50,la20,10x10,902,5155,471.5078,0,198,0,27,9,1,235,False
rslora_v4_ck100,ft06,6x6,55,61,10.9091,0,0,0,0,0,0,0,True
rslora_v4_ck100,ft10,10x10,930,4212,352.9032,0,189,0,13,17,0,219,False
rslora_v4_ck100,ft20,20x5,1165,747,-35.8798,50,0,2,0,0,0,52,False
rslora_v4_ck100,la01,10x5,666,700,5.1051,0,0,0,0,0,0,0,True
rslora_v4_ck100,la02,10x5,655,741,13.1298,0,0,0,0,0,0,0,True
rslora_v4_ck100,la03,10x5,597,650,8.8777,0,0,0,0,0,0,0,True
rslora_v4_ck100,la04,10x5,590,644,9.1525,0,0,0,0,0,0,0,True
rslora_v4_ck100,la05,10x5,593,593,0.0000,0,0,0,0,0,0,0,True
rslora_v4_ck100,la06,15x5,926,737,-20.4104,25,0,0,0,0,0,25,False
rslora_v4_ck100,la07,15x5,890,628,-29.4382,25,0,0,0,0,0,25,False
rslora_v4_ck100,la08,15x5,863,654,-24.2178,25,0,0,0,0,0,25,False
rslora_v4_ck100,la09,15x5,951,668,-29.7581,25,0,0,0,0,0,25,False
rslora_v4_ck100,la10,15x5,958,707,-26.2004,25,0,0,0,0,0,25,False
rslora_v4_ck100,la16,10x10,945,4465,372.4868,0,190,0,17,16,0,223,False
rslora_v4_ck100,la17,10x10,784,4411,462.6276,0,192,0,3,15,0,210,False
rslora_v4_ck100,la18,10x10,848,5874,592.6887,0,196,0,9,11,0,216,False
rslora_v4_ck100,la19,10x10,842,1029,22.2090,0,3,0,0,0,0,3,False
rslora_v4_ck100,la20,10x10,902,4470,395.5654,0,199,0,5,9,0,213,False
rslora_v4_ck150,ft06,6x6,55,61,10.9091,0,0,0,0,0,0,0,True
rslora_v4_ck150,ft10,10x10,930,4472,380.8602,0,196,5,27,9,0,237,False
rslora_v4_ck150,ft20,20x5,1165,871,-25.2361,50,0,2,0,0,0,52,False
rslora_v4_ck150,la01,10x5,666,693,4.0541,0,0,0,0,0,0,0,True
rslora_v4_ck150,la02,10x5,655,760,16.0305,0,0,0,0,0,0,0,True
rslora_v4_ck150,la03,10x5,597,738,23.6181,0,0,0,0,0,0,0,True
rslora_v4_ck150,la04,10x5,590,691,17.1186,0,0,0,0,0,0,0,True
rslora_v4_ck150,la05,10x5,593,593,0.0000,0,0,0,0,0,0,0,True
rslora_v4_ck150,la06,15x5,926,737,-20.4104,25,1,0,0,0,0,26,False
rslora_v4_ck150,la07,15x5,890,628,-29.4382,25,0,0,0,0,0,25,False
rslora_v4_ck150,la08,15x5,863,627,-27.3465,26,0,2,0,0,1,29,False
rslora_v4_ck150,la09,15x5,951,687,-27.7603,25,0,0,0,0,0,25,False
rslora_v4_ck150,la10,15x5,958,707,-26.2004,25,0,0,0,0,0,25,False
rslora_v4_ck150,la16,10x10,945,4168,341.0582,0,195,0,22,11,0,228,False
rslora_v4_ck150,la17,10x10,784,1132,44.3878,1,0,4,0,1,0,6,False
rslora_v4_ck150,la18,10x10,848,4191,394.2217,0,190,0,12,16,1,219,False
rslora_v4_ck150,la19,10x10,842,1267,50.4751,0,19,0,0,0,0,19,False
rslora_v4_ck150,la20,10x10,902,1159,28.4922,0,8,0,0,0,0,8,False
rslora_v4_ck200,ft06,6x6,55,61,10.9091,0,0,0,0,0,0,0,True
rslora_v4_ck200,ft10,10x10,930,1317,41.6129,0,7,0,0,0,0,7,False
rslora_v4_ck200,ft20,20x5,1165,871,-25.2361,50,0,2,0,0,0,52,False
rslora_v4_ck200,la01,10x5,666,693,4.0541,0,0,0,0,0,0,0,True
rslora_v4_ck200,la02,10x5,655,695,6.1069,0,0,0,0,0,0,0,True
rslora_v4_ck200,la03,10x5,597,650,8.8777,0,0,0,0,0,0,0,True
rslora_v4_ck200,la04,10x5,590,691,17.1186,0,0,0,0,0,0,0,True
rslora_v4_ck200,la05,10x5,593,593,0.0000,0,0,0,0,0,0,0,True
rslora_v4_ck200,la06,15x5,926,737,-20.4104,25,0,0,0,0,0,25,False
rslora_v4_ck200,la07,15x5,890,615,-30.8989,25,0,0,0,0,0,25,False
rslora_v4_ck200,la08,15x5,863,681,-21.0892,25,0,0,0,0,0,25,False
rslora_v4_ck200,la09,15x5,951,687,-27.7603,25,0,0,0,0,0,25,False
rslora_v4_ck200,la10,15x5,958,707,-26.2004,25,0,0,0,0,0,25,False
rslora_v4_ck200,la16,10x10,945,1193,26.2434,0,6,0,0,0,0,6,False
rslora_v4_ck200,la17,10x10,784,985,25.6378,0,4,4,0,0,0,8,False
rslora_v4_ck200,la18,10x10,848,972,14.6226,0,1,1,0,0,0,2,False
rslora_v4_ck200,la19,10x10,842,995,18.1710,0,0,0,0,0,0,0,True
rslora_v4_ck200,la20,10x10,902,1088,20.6208,0,2,0,0,0,1,3,False
rslora_v4_ck250,ft06,6x6,55,61,10.9091,0,0,0,0,0,0,0,True
rslora_v4_ck250,ft10,10x10,930,4460,379.5699,0,192,0,21,13,0,226,False
rslora_v4_ck250,ft20,20x5,1165,900,-22.7468,50,0,1,0,0,0,51,False
rslora_v4_ck250,la01,10x5,666,693,4.0541,0,0,0,0,0,0,0,True
rslora_v4_ck250,la02,10x5,655,695,6.1069,0,0,0,0,0,0,0,True
